tweet,location
"@tarek_demachkie @FoxNews @travfed I'll add that the report says the number is uncertain and a matter of controversy. Also, even where firearms have been used defensively the net effect is inconclusive and requires further study.","Florida, USA"
https://t.co/rIgoeG7UGt,"Forked River, NJ"
@realDonaldTrump @astros @WhiteHouse What about sanctions on Russia raising the age to 21 on buying firearms healthcare for everyone in America how about doing your job which obviously incapable of doing you and DeVos what a pair mnuchin what a wonderful group you're all losers none of you have an IQ above zero,"Kentucky, USA"
Making criminals out of young people because they are not 21. Can’t buy guns!! Who is better off?,"San Juan Capistrano, CA"
@realDonaldTrump You have it right if they want to change age to 21 let the states take care of it don’t let the DEMORATS  push you into a federal law change about guns,"Cardiff, NJ"
#VoteBlue https://t.co/hjq58tHa4m,"Hollywood, MD"
#VoteBlue https://t.co/mCGxxhslKu,"Florida, USA"
"These social media bitches scary, they be talking a good game but when I pull up or send my addy they no where to be found 😂 and yaw so called keep guns and shit on yaw, I slap bitches for a living.","Forestville, MD"
If you have any question that a Caucasian woman stole a job meant for a minority Native American you can see it in this conniving bitches face https://t.co/A2hvQNVtpu,"Reno, NV"
"@Kikirae4 @spdustin @ABC Let's look at that:
If they nuke everything the land becomes dead and useless, island countries aside, nukes aren't blanket effective, neither is nerve gas or poison. When you get right down to it, eliminating a problem is hand on. Mad men don't need guns to terrorize, remember?","Palm Bay, FL"
3rd Party or Bust 🇺🇸💜 https://t.co/Q32sI31YIZ,"Manhattan, NY"
"I am in tears
We all need to make our voices heard and stop school shootings. 
Jakes video was honestly so heart touching and everyone needs to go watch it even if your not a jakepauler.  @jakepaul @erikacostell","Arkansas, USA"
"Glad they corrected this! 
I also think they’re right to leave the original tweet up. They made a mistake and are owning it rather than getting defensive and trying to hide it. https://t.co/GgZDNdBZt1","McKinney, TX"
Guns&amp;Hoses 2018💙 https://t.co/OrCBz3usj8,"Evansville, IN"
"Wow, if a person of color said that about White People there would be a SWAT team outside the house. https://t.co/VcKO7ZXDEr","Tucson, AZ"
@realDonaldTrump GUNS &amp; BIBLES‼️                           GUNS &amp; BIBLES‼️                            GUNS &amp; BIBLES‼️                             Of course trump likes him- they are both ignorant dishonest freaks.,"Fort Myers Shores, FL"
"What a powerful way to honor the victims. I love that many school communities are engaging in thoughtful discussions about how to process, move forward, and engage in the national discussion about school shootings and guns. @davidsoncougars @SanRafaelHigh @Watenpaugh https://t.co/bVTEevoAJ5","San Rafael, CA"
@OpWolverines @RufusTFirefly99 I wished they wanted education about guns as much as they wanted guns in education.,"Kentucky, USA"
"It’s been 1 month!
One month of  @NRA and #GOP kissing each others’ tutus. 
Meanwhile 2,800 people have died via GUNS.
One month. https://t.co/w8I9CzYz52","Colorado Springs, CO"
"At least it wasn’t a gun... Because guns are dangerous 🤷🏼‍♂️ 

Never mind I just remembered that it is crazy people that do these kind of things and if those crazy people don’t have a gun, they will use something else. #MentalHealth https://t.co/2klTAb31hW","Portland, OR"
https://t.co/3qARkgkcE8,"Forked River, NJ"
#IWillMarch because I’m an old white guy Who’s really tired of all the killing and I believe we don’t need more guns We need #LoveandCompassion Please come join me!!,"Alaska, USA"
"@SethAbramson @dutchiegirlie @60Minutes Just like Trump said about guns...'Do it, we'll ask forgiveness later.""","South Jordan, UT"
@HindaRifka @RHH01NJ @TheresaInacker @rjp674 @GovMurphy @LouGreenwald https://t.co/3qARkgkcE8,"Forked River, NJ"
fr man y’all niggas be unheard of w guns 😂😂 https://t.co/LroncXSSHa,"Talladega, AL"
"@NPR Damn soccer hooligans are stepping up their weapons game from smashed beer bottles, to guns.","California, USA"
Can finally get that Young Guns II poster signed! https://t.co/oFdnDMT6tI,"Kentucky, USA"
"@MiamiHerald Yes,voters should be able to vote on this issue of gun control.","Plantation, FL"
@HindaRifka @RHH01NJ @TheresaInacker @rjp674 @GovMurphy @LouGreenwald https://t.co/jnmRRvKGA3,"Forked River, NJ"
I got one of the most fire vids in the area and nobody wanna talk about it cuz I’m not suckin dick for clout or got guns or mob scenes with 100 niggas that don’t even fuck with me? Or is it cuz I’m not stackin gangs I don’t bang? Should I wear supreme? https://t.co/mWE9no01CQ,"Hamilton Square, NJ"
PLEASE MSNBC\CNN STOP SHOWING OUR LYING PRESIDENT ABOUT GUNS TO OUR CHILDREN\\\STOP PLEASE,"Hasbrouck Heights, NJ"
@davidhogg111 @Texit_Now THEN LISTEN TO WHAT OTHERS ARE SAYING AND STOP LISTENING TO THE MEDIA NARRATIVE.  P.S. the liberals are trying to take all guns. FACT!,"Texas, USA"
"@loudmouthjulia But this though 

https://t.co/IcdMaUdPiM","Austin, TX"
I woulda got offed in elementary school 😭😭😭🤦🏽‍♂️ https://t.co/bq6P9vtcbd,"Severn, MD"
"""Almost all school shootings are in gun free zones."" I would assume so considering all schools are hun free zones, idiot. https://t.co/C4ut6WFXdJ","Kearney, NE"
We have allowed school shootings to be the new normal. American citizens need to value children over the profits of a few companies. #NeverAgain https://t.co/lZf6mrcyeO,"Phoenix, AZ"
@AP @masg66 Translation: Idiots in White House think more guns solves shooting epidemic on campus; increases NRA donations for 2020.,"Seattle, WA"
"@latimes As a teacher at Stoneman Douglas high school Tumps plan to pay teachers a little more to Cary guns is a very bad idea! Fl took $400 million out of teacher pay....only way for pay increase is to carry a gun in Florida..sad state of affairs ban weapons of war, not carry guns!","Fort Lauderdale, FL"
@os4185 I want to be part of Trump’s Army. Snowflake Liberals want guns done away with. They will be easy to defeat in time of war. They are a joke on what the spew out of their mouths. Very hard to listen to the lies and false accusations they constantly make.,"Connecticut, USA"
@Robotrix1 @Paminlaok @Sletman2 @jeffreycombs @tedlieu @MalcolmNance @DLoesch That is an interesting event to mention. The shooter just used a semi auto hand gun. We know that this won’t stop with laws preventing us to own AR-15 guns. The left wants them all.,"Gilbert, AZ"
@SarahPalinUSA Another fossil who needs to retire. Remember the statement he made about guns ? Now it’s time for him to sit by his door with a shotgun. Didn’t he do enough damage with his imposter partner for 8 years ? And he wants to be president ? Trump will make gorilla meat out of him.,"Staten Island, NY"
@CNN @CNNPolitics @TheLeadCNN @CNNTonight please continue to talk about the lack of work being done for gun reform by this administration https://t.co/FRA2zlWHAg,"Orlando, FL"
I’m so tired of this idea that if you’re young you’re automatically stupid lol. These YOUNG ADULTS want to be protected in their last few years of schooling. Gun control can help that. https://t.co/cLqkx7u0uo,"Richmond, IN"
@RHH01NJ @TheresaInacker @HindaRifka @LouGreenwald @SenatorLorettaW @rjp674 https://t.co/hLlQBTsXOD,"Forked River, NJ"
"Tonight 8-pm cst ACN Real Talk Real Issues with Joe Lockett Lockett iN 👇
.
.
#schoolshootings #neveragain #guns #guncontrol #parentsbeparents #dadinthehome #whoisraisingourkids https://t.co/LNpBv2Hc6E","Forestdale, AL"
THIS is why guns shouldn’t be relevant https://t.co/D4UsUPutcZ,"Evansville, IN"
@CNN @CNNPolitics https://t.co/PeRvioWHyc,"Orlando, FL"
Lmao https://t.co/YBhJP2IFbf,"San Diego, CA"
"@SeattleBigBlue Las Vegas is turning out to be a mess.  What we've been told is bullshit. 
  Columbine happened during the AWB.
  Orlando was terrorism.
  Sandy hook shooter murdered his mother to get his guns...","Fallon, NV"
"@cameron_kasky exactly.  This is not a school safety issue; it is an American citizen safety issue -- in church, in malls, in schools, in theaters -- wherever jerks with anger issues and guns can be.  Ban weapons of mass slaughter.","Chicago, IL"
"So, Trump calls a broken promise about gun control changes, a  “brief” promise ? WTF ?","New Hampshire, USA"
@Rodscowboylife @FoxNews @realDonaldTrump I don’t understand what you’re saying.  Present law prohibits convicted felons from owning a gun. It’s accepted that that does NOT infringe on their 2nd amendment rights.,"Eau Claire, WI"
@NRA @GOP #trump are you listening? #boston @bostonpolice know what they’re talking about here #GunContolNow https://t.co/KdIlHZHohr,"Boston, MA"
@DNC_Hacker @DanteBrown2020 @TrevorTortoise @CNN And why weren’t gun safety laws enacted? Let’s be honest here. Because politicians refused or were too cowardly to do it.,"Tampa, FL"
"@yellatuss @LliamC @AuntDebT @wokeluisa Hey man, like it or not, guns are murder tools. They serve no actual purpose other than to kill animals or people.","Idaho, USA"
Stop using your BIG donor's playbook! Straight out NRA Lapierre's speech. Resign or go to prison Dotard Don. We are done with you and your inept corrupt administration. https://t.co/y2eNuvtI3K,"Tallmadge, OH"
@ABCPolitics @PressSec My God. If you believe Republicans Obama’s spent 8 years trying to take everybody’s guns. I’m surprised Sarah doesn’t choke on her own vomit.,"Fayetteville, NC"
There’s a shooting here at my neighbor. 2 shot guns 1 killed.,"Farmington, MO"
"He raps about how we all, including felons, need the right to bear arms! What a hypocrite https://t.co/ZhiYrM7dWc","Dallas, TX"
Proving your complete and absolute #Hypocrisy and #Lies! @NRA @waynelapierrejr @DLoesch https://t.co/7dr2SPNQOI,"Colorado, USA"
WTF https://t.co/89JYBSwV2t,"Portland, OR"
All a bunch of BS https://t.co/sEO7TKgg4Q,"San Diego, CA"
Trudeau must be getting heat from his financiers and handlers...  https://t.co/jck5E9Qpg3,"Florida, USA"
"Lolololololol Gabrielle Union is literally such an accredited &amp; self built woman, who made her career in entertainment &amp; philanthropy, while also being the iconic head Clover cheerleader from Bring it On.... &amp; y’all STILL NAMED HER AS DWAYNE WADE’S WIFE....... goodnight https://t.co/cVYOMT6nia","Illinois, USA"
@KatyTurNBC Katy the president’s plan is nothing but a way to sell more guns nothing more. A commission is meant as a stall tacit.,"Poinciana, FL"
@JTMann05 @realDonaldTrump Chicago is at the mercy of the surrounding cities &amp; states. All the gun control initiatives in the world won't work if it's not standard across the Country.,"Ferndale, MD"
@JTMann05 @realDonaldTrump Now you are just being stupid. There has never been an effort to repeal the 2nd Amendment. We just like our kids more than guns and money. Strange that so many Republican’s prefer guns. Sad.,"Berkeley, CA"
@shredderfeeder @KamalaHarris @SenKamalaHarris Even easier - start a gofundme to buy open carry weapons for people of color and use their own bias and bigotry against them.  We will have gun control really quickly.  These guys are complete racists so it will work.,"West Haven, OR"
"There isn’t a chance DeVos cares about this. And now she is in charge of Trump’s fake school safety study.  Public school students of America, you were betrayed today by Trump’s decision not to do anything meaningful about guns.  Time to march.... https://t.co/nrlwFlF2r5","Virginia, USA"
"@QUtrGQ2PfYkB0C0 @realDonaldTrump they make guns out of plastic, ARMED GUARDS , Retired Military at each school entrance","Southbury, CT"
"FUCK,PRES.TRUMP TOO!! MAN YOU STEADY HANDING GUNS OUT,I SEE I GOT TO GO MAINSTREAM.OK.PRAYERS GOING UP TO GOD OF HEAVEN AND HOLY ANGELS.THE LORD GOD CHRIST 2018. https://t.co/SVuW9NsNAV","Metropolis, IL"
@JTMann05 @davidhogg111 Banning certain types of weapons from civilian use does not trample on anyone’s constitutional rights. The constitution gives the American people the right to regulate how their freedoms are expressed. Government can’t take away our rights to own certain guns but the people can,"Norwood, MA"
This bullshit “walk out” the students are doing is dumb af. The fuck are a couple of 17 year old kids getting out of by cutting class because of the gun control??,"Raymore, MO"
The shell game (using 3 Russian faberge eggs) continues... the midway carnival barker runs his con job on duped @GOP #MAGA voters! https://t.co/hJlqRcmJcn,"Flower Mound, TX"
"@Rodscowboylife @FoxNews @realDonaldTrump Ok. U missed my point entirely. The 2nd amendment is open to interpretation, eg convicted felons can’t own a gun. There is NOTHING in the 2nd amendment regarding felons. So, guess what? A legal interpretation is required. Just like with age of ownership.","Eau Claire, WI"
Elizabeth Warren steals a job designated for a Native American.  When asked to prove it refuses to take a DNA test.  Hopefully she will die in a burning teepee! https://t.co/A2hvQNVtpu,"Reno, NV"
